Emp No,Device Token,newToken
76,qddbDlkCdxLm96fo5kiuQhFrKWHnIQiCUNQVBdjRxtCcxlUyo5eZjYUO864ZJveeBsKrfqIkhqbSMADLd5FhBvK4ny0rUUOiL7WOwoqlf6IXIxEOaGPHI2OIbVuiLjuB9DBIs3fubE86yTqDt9KtwUpRUQAVNRPUUZYqVKP2xEKaYOlEcBVBxz75v8cAkPf3TpX59a5UGB1NatUgFPnokkc9cLQw2XeeCcJqW3wc8NfsUDAauq3by8Pd9,d1TyZbrk8iyH9Zlh0oxMBd3e0NC2A922QakmhUanugl8hpYB9SjFA4yjoaNRsvBIVTSqWiAJ7Zx2nuqDLhRAbb2qIgAKGpp91WyfMng4ZW6mLOaBjpRvpUDkjRhvK5Dnrwdb64qmGtyDLB85aYPhKfxt5SifSXlCjocunfxfhblq3OUV4zNx
77,jGPN8ouuEQzxIz6OC8nPySaUXUKIFQqciXr6yRNACvTWlW4rmqcGwd4dKPVK4KnLAaMzvAOFB3G6xgbfNA4OcCy6lfQCFBQv20j5AxKvKVlWlF59zWhYyRRX8bAoLaHuP9J8raouFiX379lUr5OJlaUl5iXZakjvhim5qXhpVFiSjPULi,7M61MQfNceSGa7L5wfLsyq7Q1bKHUJzYMMu7tLkvSxrEZzZSjCH9pkW1kDjJUFxldxUdWP7FHe2taHZaEitu4vowKLdnmgeFrVv7I9J3ZBt0uKROtg3hwwZv6ov5dS3JbcPSWZwqDrka1HpAN85IPrc2PKa8O7Nvpg0w0Urjbe0S5VP
78,W0hheL3FCHZXmogBQn13F9hj2cAxVWFGLCMq9r0m0L6C86EYhLosJvINh0sXaGKJVzSbsiC9moAkS6DAa1HEmAR8gMxvHtj4RgtRQvTwHKKLFOjnKtLcgloZucHsfKrG3lff2ISQALwVfxlDk1yEzjUYn4TpfsrKfRmfHhChTFDFgN2J8kPOnaqEh4IlwZCc9Xv,EO9qLkKP1y1TATZtDxcTSULin5jVbhm6BfAksgwqD3igpnsE7jB8BWngeGFiYfib6QQs5fR4UVepKcLaNgxz4fypVYcl3PSS8p7k7M2TpmdbwgxXXxbwlE1kporGotpFmUeWx88elNHU0QZPF7L53PNVpPbhIDbcAdb6JnNIgZ8sUGe0C6y7IfSKyC6VqROtsp42xGGlrih8U6x79C5OmFU0cURvzGqmfqOfqTyLVE
79,ytKxnjMzNsGnpJYOmdFIRGqj8DeoP62aIYsUAKm4jbtgHUESFYqOc0KINNrtCYEU0QK6YcxY1gg4e2utPaICsw9Cr9Jo22Q8Y9W5MKqQ7BoptHTAx4oloemdd67Zt4nk4kLxAGCxRMH2xbGfr0SKfe8Rt3MPJtrhAumTpIC0a5TWEBKb3QSE0CEYleB3iG3wCWN2O93IHAW7pnV86Fdq5Z,gZKgLmYiOuRtFRZpHtffcdPBdw1gbWsnC0omytArCl9DMuGr2QF57EywH2zShiLhfpvxNbChHo3SFpoGkxdXBH1Zc7KsOhDnvbPEZs5xgiuuzW1E2ukW79dlwRzFNjXfjl27A1HYKvEzn7xuuzBhDeuaWS9aTN1
80,EdSN0R3huCLpi3vC3jElqR6BfV2tgFHqD91j6odVstdhYZD5t3CcuI1KLR5UXBB22U6iQRm87ow4TtWCP3g9jpd6uXs0TQug78htnEAQ00uEM8Ib3Y7V4eYudLmpyMm4ZxDeW9dOXUkJYpvaC1yxgZAzN0QeE9Ng,c710yHLsZ2na8x38iyWarxRx3XdOlDF2l8tdgZOtZELdRxKh0dpeaBApDMMW8aLoSiJuLKCOEaY3nL0qCoe3Ts6leI8ekv2CIBlFbia2wEcMUNvadop6Bt1vTbXY8FoWqOWgEQU985Sqcvvnf2sEQeza4d5aNHefR7hxr7u4WHUe4Kv80aI3JKLCZYZ83
81,LrWVckjAxDw9tGCftpu3hE9opnTefAysAuauds5FTDXW44sJbvtzFWjxldnrXT3ZatorpnDl7rjN5PLnZf4ZVA4ZB0EEaUrXFxxUKyDu8aT3N0XEAu9RcqaaVWScXonxkUzU1VMnKsmPSZveIAeYBmDJNzMZkKVs9ubsmBuj2Mo5Ec5RTXIFojN9DnEHdylAOkVtjbglEDgWQCUEbKtX7SmrjEcz,PKUTVibwcTwgRciBrFLbThQyCVljWPEyxZXTMOP2oNmCXb265mMZ0VQwUoXJLZgUwTyXw8V5e59z4rcRAKbKk4Xb4s8zwXVk3H8IW3GLkmZYCcDALPtAjxfgdvQns0T3biYulyDII5XMn50kfR7jULUqbxuLSjwTnCV4gKhUweTMovyJSQb55BD8QegpQxtrI
82,IvcSZWH65a2DaB8xebjFTagbEvU01fFq3vPq956WrryDBPh6yrX1f5pAsgN6iy1nhoDdCrE3j3ezQCg0js7eTNWVp1n7z63Yrhw83cyyd5fGuP1R76W1Bipv4LQlUpVfWJFqKuFbGJAJ9XNrxhQIpjr3sSybp9d1YiJqNM5et3u1hOfrHd6O2VQ5zTT8kkYt4T3Yr5kJA,UomufyD7TeAn4kuE7PGWuXd8X0qAjzeTsznw2RQoosEygxWGJrFQisHaB9zxCDRBU8U2wbwhyN2MPeBUMMAVmCy92VlapOguS6MW1JyUdGbjthd4zS4859x30Q5kp4A0093fQv9NThPieJi25VpkIMxqWM9SwvMEBBtMaB5mFptos6FqL7u6ja3I7VoOwwvekSUk1O5Tm3NBhR4c
83,NSKAh4QEWtPfwp04AUQSVMkpwvR1TOdMfcD8ozPYGYJLvGRkFvXWnSsP1bTAp9xafTcVcuh2N7csTJtHHWeUTtnwKwNMN2ZPXoWJoqyfLkFLac3Ca7CJEPAajACwF7zVjewSvld2Roac83ZDxp7SIYranq7thELNjLagZkL7oUXBe115cxP6RdfB2YHgAf5Yfzw24bLKnLRHb6hqOqZrOSlIvCfGWHKgIxsbwsJrwG3wnJrUahTG,OOPGlcNj3X5zm2AOlR6jrk99vLtVzROkW80QgVolXUClOnJTFkbgBqUN5lH0PXIoz596jkxlDCqs8OjZH9eesKX5j9HU8DXIzfKTtXT6UrfZ90PXovgMqVdDrkvGN5hSv7K7eMsN5HWjAUtpnze3eclnyBAvI0StggL8OTNG8R688vh
84,yZgWnoVYQNxvYIvBunKgkstOGLNlvlFFVHDR9YvkJ5z54AnEzVamC3t13CinBrQiaLUbS0Cr3sh0Yl3OJgZQVsZB4CAWVoZR332ee0HDjSdxxgLewquDntoaCAtrIk2wS6PaNxXFsK4jSgkOM1fSYUIlBYZfXimQujmmMh5NOQtYAhisjLtBzhkWeGEE7nrtUtiaDa1lqddptjKezkf3GtISXbxINSbU4f0ureR,et9pXRrf50Q9FvLIrTCT2GpTC28HXSZODcSj4j6LgeMotN2YY5nw5H99D12stjn4DG3CKUCePpYNoOeFCKOYy8lbtNgOXNrD0gThk39XmS6upAoFkRYbg9NdIrEQkBxnCpXmDpfb3VendmMDPdFOFLsjRiMfODnr9VEstRzZdMXMG93MddFZKPjuNUA20WY89VIsOMjbNtkcw5XSNRA77SwSYFwq9XY4SJ8CsFXwdO1RrN2dhSAHGqQwhuD37
85,qLAPow6xw2pH7YD69a9eHOg6IiXTcV4ApxnoVGSYZcqYHP2ofpkUkBdNkRUr1KkbcIWqFQfLjq4wMxuL32h2flY6NzbWpDTToC64B1rjvxnXBZArCgslLP2zsFLDSZAKUmGbDyKusNwa9PaxCVmMz244yfKxRl4szbM7UDf93vcKJSdBeFOL0s4MAk2m65CNKfFarNEU6T1d2DuX,uUWUti9JnG4ZTzrX4yl9AmQJ9bl5VfhZovtWqvds9hVsTaQERg1aytpm9oZppJpRSQgFWMoW7o9Hq82PMkupmXQFsGW40sMprUFf1OqM4r3vXlolYfCv90u3YMZFgSLeqgfb5mlrCQK5FbP
86,usHBFMJIluEqXEwLZ4tZ6Byo9Dnb8KXpvW61jCWmnKcF5YXmipfuAHyhHBRVen8o2WY0bUO05TnKXau8ZLqQXaj7EO55mUD3P41MFcmkscM3migQc7cx3axqElms9ozSPSlSgtXXhtVMiyJRkCjLmd1csU4TrGThPy0ZRZ5fkFYGzC3zfnSnXPjPzrnUCF0TWFcIAXlqgdKc492xBNMEEpAlfjlqn0IaeqHKKEOSqGl6r3kSh5r,AK1i6f18wGnL3nIA7JTlxBSw5gQt1DvifYZYy5Sc1219h8HW9N0XE4GHIzShO3MdlCdVSCOBa54yqP0ux0DuUNviMlruB7NKyTzUaRZjDQsvIJfMRF8tIjQBniW6gxKYIodg7gnWECWWqYreocvy3Vb0HyevWl1CGGu3YjUCO4JyLEfelgGYmrXaPnOb2erKyG5lIV07HKCc3P0No2VeMWsl5
87,T2Jx2wOyxfsC51qoLSpwrTHHf8wGmDqUHr2lCDi99m28znmQjFMhmZ91d5fGz3YWDngihZUexMkGaibpxPozIrgJaJ2zg7ThR27YMp3DeTlJrdEcL04qyvbTOihl6SNsdLispZPSFORvBshtQywmBuBEDOkHQTNiDXOoaUzqLTg5Smem87glGKt3K7vNIVscN5o9wj1eQqnmGLU1FRysq,e0CgQF9lNzicT4z2X5IlxNrz9wvOcylvPqXyIMfJt58bheoTlp7Q0wpSrRcnd5hL8YCfz5tEKrcnBgiHQB9ETNs2tvBHywO26FETpzyKILfEOnW9sSuH7HqKgzLSpzBkEelhRPbOFbCAiQyezOwD5ESxYvfKqQbIKxe1XN3u2owoNhRSGSlxvFiPINskTEhyuMn8sZF9wHP1Kxb7IYddPcfKFWShCxs4A04Yp
88,f4eXaEqr62cx7hHaznzsHYV8i4W5vRnvPxCLlMxHYbLa02cmiYN357Ok6GM8n3AOsMCEVVawsil40G05v94i4E32NO3HX8WqYLWOUhG8fpbt09HpvQMVFCjbs9EZFsTd0umURD0HU5YmXsKOaBtJrdzQes6wibSWHmkVbmtFz4HBwRAHhcqOcy2ndVWdxB63rlMw9TyF4bfUTytd9cD4gSOI7a2BbRRwa9eElO3WhuwUHQ6zoiQf3lsYG,jQQabo03JjQgja40LS1KMXqbRlxHrrFJdO9rR4KCZiMq5JrDZI26T3GS3oZBlegCayBFhysMcMBGrF7Fwem15GB1nUnyiBZ1NKkAUfyM5bWz6ryUPrFiLYZQQaijTxe3KDYiqMbVB5oBnORs3U8
89,skawZsWauGCUZ7GSD81pfzFaaAE9aDhtA1MOuYnZnMPVofiJbdTaF3FCZYce1JesVkrj5gug9nVyYqw14q8n1wvZ1B4nhvRJKqk5hH6PU5gvPBr1Q8o3QLOMRSUla7ypahANh8TnZZ8ZfMNTHNE2WmqdyrkPz4HZPLX3X3FSNQUFDUTdtlNfkCCvYqTWY5INep8dBbTOU,DGxu71mkieCopGTL5OjBnwyubvuVuHaTXIM1DyuTobqbpdbj6b1aKOul6DkbouEIz2TqeT9ezrbJEaNMmE2zpynihKEUiZF6qq2m3IgboIUBvXPyhpVB4QaRsEDE7N99DYAhKJoXnLUkypomVS0SCZXLDS3MUJnOZJu3tThQ5G05YFrUbCaxjbF04lANLByjkU59zKHzAGtGBZNG18r823jAIWRu9M9fqng3o9zLNAf
90,QlOs9ZjCOYfjgsGzRhjzdLLehLOVV6aNSFNwvj8L6zdM8WlTY84U2qBqAv9PLp8mm7IXp5Bji8ptfBQqvMG4X14KvQsiXaSkx2px467PxSMVU5eiKkWxE1YwN0Qh15NbnR9rMWTskmCcku,BKYcMTwR4kBjRMpae409AWWcmFihS9U0XoZxGzcyoVGrzPgGPpAzohxErjyf8SVIbiIqF6MiIuunGDvr7IW099CbcjJIKwGSKUePz6F8lgvHMccUcLvHhBRJu7JTeuzh5teovsAZW5048KsQlBPKEVXNs0R3p5htLj5KB8m01d2fjEgXgkcr5Kjq
91,9KFQ9D7kelycNXF5UKiUMfXaoGENduVmhwgPCKsw2cDXZY0WVWK66MbZCLt0b7rmjShrxItUyomGuBw6mZPIlSSzpJGU0eJGNEtSgBqJqAfV2ui67AahOtVeFwxBBMaG3au5jJHyzalTcmE14XD8odikWuquqS5Up,D4TJTx9zdmlkXVJR9ORU8XDo4eC5iR9ERFcpycN0xg2GJoF5faxm8etTvGPEei7FUYNxVYwIuBHjxSSXYEj8dGSIXHT616K5DwcTbLJPWuNpfV8cm28dRWWRDB658UUe80bDyGKfy3fbltlcYAH
92,hBLP3jGmYIsOqx8h3uVhkj4XDn6pQ7FyhEcDjrxsc820pTqqKkUoqj0K13Yss1QChOnIkPE8fEVSCykaoTiS1dt02E0ULhyJxXWQaGc2RDtkRFBt5MQS664Abvf7vC0aPAdtzrucN6gvXQ8CYIyJQpAXfZMKHiZJAneo6NcqZf0Pf8MgKAZPBhw3UziGWOcf6eH6Lx5HTMjsrziclxzrHgp688mYdIzSgYUNPEBDku7z5,oZEaFTV7YONOPgbEbOZmU8GXY59YWiyopr7PdQ7iVwoxIUd1a2WYnAcUe1fQVWeN3FtJC1z5ybUeBr9qEI57siwr4L7tJdTrltzr2pl73VTgTQuCc8wqtVEFpj0DgDbjvZJfgmyY3xa9sIBYKGsaV1oxl7lDAhTPspv7
93,eEAkPQDR6GuKDybjv0vC0MaCytB9r5knZNXjqQhLJiQk2PR8ncbAN7R81Mh6lUekWpr5k9vfmuZ8cSoORj74T1IQ1pkfuGsfLJ2Ub4SzrV0XtI0aUqQbqUUlyRITw4kgHrAwGFwLL8hfQXs23LbyrI4wWY00MIAr2SeoiEpHL5,HJ3Qu6AxjwEefxXyDK82V2UwWhGFnXLWCA2CUrR3ETr3h1YiVvWjFlmKonj3EHq3Pera7VB70sPZFOm52IRQYkAKfYa2bsiPafTrX6MhQhjyp3NrokhcUsripRclcN99GEPyViRNnIkvKEbOONc6KQ3uGql7xb
94,vvgX7QvRbtSbLU4cP53MGk4zieAnycbuNEUvxVsem5MOsTtpUF2SHzjyGKtRLyeHgSWAeDgeUWugpzq2JwISbjbOHg8Ln4I9LWrDUIQXJCq626I14HiuzGs3nIhKxcFzqit5KacsWTpd9mQpSbHLqnLGYXTuPyv8hWXCqr4he0UAOnDuosf6LzEuUOPuYSit2MPfKzjFSSL0hiI4,2QAsYrlNBbv9oGSbkcZD0VXCzAIiVYzwGFMzilrK7huxkWzQyGmjGUg1bJZbAc4yV7tGmVAN4jHiVBRQr4M7X2ordK3SHnLGlo2F1lVVkiqgf8PL2g3PSEOoKLOCJ8iolZfzluSMD4tbImMLTw30M2puK7cJMGXUEPyVWa
95,zIIihtKglMS88gJE7u0RyphqEB3PcMoqMnWFoHLAri0CC5E6dD6kIgD2XNSZUeeFTpHGU9OFRd6jUNJDA8914JW5jsTxsIsGXAohSWHvTxKQ3KSudL4caAD7zC1ntIsx4vQTZeSZz7fi4WqHMe,dmpuuGuKRgAa96yMVxHN58a9mMBzRaOnxVGstGAkxAumnNV1c0xhirqwm7flLEC0YTi3pIgscNvG3h9EDb0cC23Pk6fSc2RmER7taMETCgo5lDN7p8cSUggh6aw4mD8EQePZ8j4OKneihGhPuf0KwiyBOQXHB6
96,rVu4vkv8eTy0IewsKYrfQseFB0uycLPgSF6Jlz9zp26TJvYXyzWFStcgs9Wuv65bx7UVZrG06ZLyw9skkEiNDlI72rDm2ApPX5OfHggF1YMqubG9FtfSDxzBvx2tYiNlHR2lY5aRk2KOAN6Fx6PtVxL9TKFbLbiwCg8zSoTwvTcsEc6XxrS,Lfj38tWECDckHgA5WPLUo4rlYqVZ6JWv5JsVEOsH6NDdvEFd7yju33YJ9dpksP3ArKsHmx6CoLEUQU1059GaM2uOuwv9Duo1Cx8F8y3tnv1VyvwSCrkljZGEasaKB8C9uj6naSAfYh4cnlgSNiZF
97,AhupDa9ameGKbnAgI2jSuSBa2c8CoBuyqKxG3OeCpRkVfBO9Y1k4rLDQ2DlNfJpE7ISHmEEuOh5jNdouaWNN6Ix8L5iOBxVdulIbX2c3c5nRymvhxJR1KsIiCiIsL6fhvlf6wyu3FQMN07wkYL5LpjYAzsJqsGOqkzpBS2GRgjSq9ybWy9oaQmAekQX7FUqj62GwRRbkQiCRlSuMqqTr,sqo4VN2eZgWUy5VnQg59uTT6JvZWCkZBdHkg53er6qN2iw7juivLc5TTHPRVSEaAVVyusLKoJRm8qTcCEzVJXnow4fWPHa6XXTNiZg3CM4n6oiIxPEaHk1rpPym7POXXwfZtJ4St4RdCs6oEnmyKuTF7ybRCFer7YeWccI5lSZu1onOYvib4MDhu2CrvSARUApxYkA867VvOUV6fJIxBwvBDBOMc2ev6oUEaSAeB
98,I7kbjhQncdM7h1teGdGWqi5cusdBpfdPedZu0iZoJun438rJzVqEA6A7yMBbUZxZFFHemjklXVZRuX4Zrx7UsWW4S8vthfy3B9cJBN6Ar7Bsw1BGs6DcwRfIUAnj4tVPaSF2Xvi0GH83NZs3vA,VweSmRdHzjEpmhsEJXZY7URi6oesgp7lkTo4ESQk1kWkhjoWeDywHBV6FFZJvuKnnuG3QDT3sCVqZ1D4UTFBVfB4XCMKEdHbjBDdaon2JaKnouWUVbl7RBQtq4TKV00ac21bRefQNvdi1d8eAOO9gJgQs8AyIXMcy5
99,rL3Vblk2ujjowtlSAlW42mFdCNO5dBoDbT5lIKdHiRPNvavQFmN7vq9VX6W19vgIkZBgQhij7SjLtNxyfTTIYJeIvcjYjzoKIZk92NCG5lUqS36oKjSd62ShWtluoI4JltCVcP3y3ZefybNA0hhZMbHPTV7nhYwd2wz66vHDjpUmWXuHzYDqHvP9TY7QwDVyYSzRiPPm9iJ4o,HquNnq7jRldgtnYjn6j04T1PCHbGWjT28t21vGXJHR2QT7SseHDc62OJDy13x0lOovwjoTRS10ihVZ5iQ15g62nq25x4ZTKjpmBq4u9LCszCIGabIJUw8c6NHABgEbQRtm5mR7vNCMcQ4IMTjTibdMTatUQLF7ZjoMZvEmsAxt4FNoMIdIdQrHNXk17NR45ipUldB3pjyq66CDwAc0sFLlWVYg3
100,hdfkPs8GP9qP7fxmJaSZmYINrt2iz4F5ecENNFAi5OaJ83plz9cSuLyKiWNxydlytJEnHVRzkfMKbmE8PruE4UdPbIe4XYJINy5FVx48S0qrrKs4DBKzraXYiFuybrawjiE8ojZtSFHXO3RhYR4KS2cUfMkaZ4EElss5axtZkpmdyaVh,il2rLa56GJXvZwg5t5p7jIuEa1c0nsB9WoewdZh4uNu9wnOx04w9luAN0Cc9iYTcJBC8VNDpJbICdSr5FNUQsTVIf4J30PUQ9SQ0ZzNB65pTb1hEUPn8adDh7fmGev6uCC4TGVopoFIvEPpHpPZzYYcyjbbUGUZc3GEGSseP
